Geography,Category,Data Type,Unit,Current Constant,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
World,Sub 1: Mass Beauty and Personal Care,Retail Value RSP,USD million,Current Prices,290690.4,296539.2,296482.7,271542.7,271644.8,284859.6,300973.6,315358.5,330887.2,347193.1,364767.9,1.280518192
World,Consumer Appliances,Retail Value RSP,USD million,Current Prices,374874.3,396544.2,400584.1,375734.7,380882.5,405263.6,417976.3,436689.6,456630.2,477166.5,498190.9,1.22930088
World,Sub 1: Major Appliances,Retail Value RSP,USD million,Current Prices,209162.4,218329.4,220256.0,206513.9,209866.7,218756.6,226353.2,236313.1,246989.2,257932.8,269039.8,1.229859122
World,Sub 2: Dishwashers,Retail Value RSP,USD million,Current Prices,12647.4,13296.3,13948.9,12919.4,13467.9,14265.0,15035.7,15833.8,16453.6,16991.8,17487.1,1.225874518
World,Sub 2: Home Laundry Appliances,Retail Value RSP,USD million,Current Prices,51837.8,54539.2,55561.8,51922.0,53042.9,55727.2,57642.4,60058.7,62746.1,65625.5,68478.1,1.228809271
World,Sub 2: Large Cooking Appliances,Retail Value RSP,USD million,Current Prices,51321.1,52750.2,53724.8,50811.1,52014.3,53924.1,55723.1,58302.8,61026.9,63751.8,66583.6,1.234765161
World,Sub 2: Microwaves,Retail Value RSP,USD million,Current Prices,11717.6,11596.2,11602.3,11092.2,11211.7,11465.5,11626.5,11836.6,11990.5,12098.0,12166.3,1.061122498
World,Sub 2: Refrigeration Appliances,Retail Value RSP,USD million,Current Prices,81638.6,86147.4,85418.3,79769.3,80130.0,83374.8,86325.5,90281.1,94772.1,99465.7,104324.8,1.251274966
World,Sub 1: Small Appliances,Retail Value RSP,USD million,Current Prices,165711.9,178214.8,180328.1,169220.8,171015.8,186507.0,191623.1,200376.5,209640.9,219233.7,229151.2,1.228646646
World,Sub 2: Air Treatment Products,Retail Value RSP,USD million,Current Prices,77731.7,87334.0,87017.8,80981.6,81119.1,93909.5,96702.2,101683.3,107187.3,113026.9,118989.2,1.267062438
World,Sub 2: Food Preparation Appliances,Retail Value RSP,USD million,Current Prices,13308.6,14259.9,14610.5,14396.7,14429.1,14863.1,15210.8,15774.0,16347.5,16912.7,17518.4,1.178650483
World,Sub 2: Heating Appliances,Retail Value RSP,USD million,Current Prices,6454.3,6702.6,6791.6,6214.4,5994.0,5972.9,5961.4,5960.7,5969.5,6003.0,6035.9,1.01054764
World,Sub 2: Irons,Retail Value RSP,USD million,Current Prices,5029.4,5112.4,5126.9,4544.2,4578.0,4661.1,4748.1,4916.6,5085.4,5248.2,5421.5,1.163137457
World,Sub 2: Personal Care Appliances,Retail Value RSP,USD million,Current Prices,19455.5,19546.6,20316.5,19458.3,20117.0,20899.4,21681.5,22672.0,23651.5,24616.2,25630.5,1.22637492
World,Sub 2: Small Cooking Appliances,Retail Value RSP,USD million,Current Prices,28745.1,29877.8,30694.1,29027.1,29798.8,30756.7,31359.7,32657.4,33934.1,35188.5,36507.4,1.186973895
World,Sub 2: Vacuum Cleaners,Retail Value RSP,USD million,Current Prices,14987.2,15381.4,15770.7,14598.5,14979.8,15444.3,15959.4,16712.5,17465.5,18238.3,19048.3,1.2333547
World,Consumer Electronics,Retail Value RSP,USD million,Current Prices,728295.6,773170.4,752910.5,685722.1,671424.9,684301.8,717501.9,744544.0,783364.0,826459.0,879507.3,1.285262292
World,Sub 1: Computers and Peripherals,Retail Value RSP,USD million,Current Prices,223127.2,224977.1,211875.1,177553.7,162396.4,155704.3,156886.9,157815.5,157160.9,157562.0,158802.5,1.019897973
